HH,1,LAT,BPE,LBT,-9,-9,-9,3,1,1986,3,12,1425,-9,35,D,54.5667,15.4000,54.5333,15.3333,38G5,50,I,-9,1,1,C,-9,-9,-9,-9,200,22,-9,3,580,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,113,7,-9,0.5,0.2,0.4,-9,-9,-9,-9
HL,1,LAT,BPE,LBT,-9,-9,-9,3,1,1986,W,126436,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,1,LAT,BPE,LBT,-9,-9,-9,3,1,1986,W,127141,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH,1,LAT,BPE,LBT,-9,-9,-9,3,2,1986,3,12,1800,-9,30,D,54.6000,15.3167,54.5333,15.3333,38G5,52,V,-9,1,1,C,-9,-9,-9,-9,200,22,-9,3,580,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,113,8,-9,0.5,0.2,-9,-9,-9,-9,-9
HH,1,LAT,BPE,LBT,-9,-9,-9,3,3,1986,3,13,0830,-9,30,D,54.5667,15.3167,54.5333,15.3333,38G5,50,I,-9,1,1,C,-9,-9,-9,-9,200,22,-9,3,580,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,113,4,-9,0.5,0.2,0.4,-9,-9,-9,-9
HH,1,LAT,BPE,LBT,-9,-9,-9,3,4,1986,3,13,1210,-9,30,D,54.6000,15.3333,54.5667,15.3500,38G5,54,V,-9,1,1,C,-9,-9,-9,-9,200,22,-9,3,580,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,113,4,-9,0.5,0.1,1.2,-9,-9,-9,-9
HL,1,LAT,BPE,LBT,-9,-9,-9,3,4,1986,W,127141,4,-9,12,1,-9,1,-9,4400,-9,-9,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH,1,LAT,BPE,LBT,-9,-9,-9,3,5,1986,3,13,1335,-9,30,D,54.6000,15.3500,54.5500,15.3500,38G5,52,V,-9,1,1,C,-9,-9,-9,-9,200,22,-9,3,580,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,113,4,-9,0.5,0.1,1.2,-9,-9,-9,-9
HL,1,LAT,BPE,LBT,-9,-9,-9,3,5,1986,W,127141,4,-9,2,1,-9,1,-9,800,-9,-9,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH,1,LAT,BPE,LBT,-9,-9,-9,3,6,1986,3,13,1500,-9,30,D,54.5833,15.3333,54.5667,15.3500,38G5,52,V,-9,1,1,C,-9,-9,-9,-9,200,22,-9,3,580,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,113,5,-9,0.5,0.1,1.2,-9,-9,-9,-9
HL,1,LAT,BPE,LBT,-9,-9,-9,3,6,1986,W,127141,4,-9,10,1,-9,1,-9,2400,-9,-9,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH,1,LAT,BPE,LBT,-9,-9,-9,3,7,1986,3,13,1610,-9,30,D,54.5667,15.3667,54.5500,15.3833,38G5,55,V,-9,1,1,C,-9,-9,-9,-9,200,22,-9,3,580,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,113,5,-9,0.5,0.1,0.4,-9,-9,-9,-9
