haul.id;Country;Ship;Gear;Year;SweepLngt;Depth;Fishing line;Size.final..m;Horizontal.opening..m.;Swep.one.side..after.formula…meter;Swept.area;RSA;GroundSpeed;RS
2001:4:DEN:DAN2:TVL:39:20;DEN;DAN2;TVL;2001;75;84;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;2.8;1.07
2001:4:DEN:DAN2:TVL:4:3;DEN;DAN2;TVL;2001;75;70;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;3.1;0.97
2001:4:DEN:DAN2:TVL:40:21;DEN;DAN2;TVL;2001;75;89;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;3.1;0.97
2001:4:DEN:DAN2:TVL:44:22;DEN;DAN2;TVL;2001;75;22;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;3.2;0.94
2001:4:DEN:DAN2:TVL:46:23;DEN;DAN2;TVL;2001;75;24;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;3;1
2001:4:DEN:DAN2:TVL:48:24;DEN;DAN2;TVL;2001;75;32;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;2.8;1.07
2001:4:DEN:DAN2:TVL:50:25;DEN;DAN2;TVL;2001;75;47;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;3;1
2001:4:DEN:DAN2:TVL:51:26;DEN;DAN2;TVL;2001;75;43;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;3;1
2001:4:DEN:DAN2:TVL:54:27;DEN;DAN2;TVL;2001;75;63;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;3;1
2001:4:DEN:DAN2:TVL:59:28;DEN;DAN2;TVL;2001;75;59;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;3;1
2001:4:DEN:DAN2:TVL:6:4;DEN;DAN2;TVL;2001;75;83;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;2.7;1.11
2001:4:DEN:DAN2:TVL:60:29;DEN;DAN2;TVL;2001;75;69;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;3;1
2001:4:DEN:DAN2:TVL:62:30;DEN;DAN2;TVL;2001;75;75;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;3.1;0.97
2001:4:DEN:DAN2:TVL:63:31;DEN;DAN2;TVL;2001;75;88;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;3;1
2001:4:DEN:DAN2:TVL:70:32;DEN;DAN2;TVL;2001;75;30;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;2.9;1.03
2001:4:DEN:DAN2:TVL:72:33;DEN;DAN2;TVL;2001;75;32;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;3;1
2001:4:DEN:DAN2:TVL:73:34;DEN;DAN2;TVL;2001;75;62;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;3;1
2001:4:DEN:DAN2:TVL:76:35;DEN;DAN2;TVL;2001;75;74;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;3;1
2001:4:DEN:DAN2:TVL:8:5;DEN;DAN2;TVL;2001;75;90;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;2.8;1.07
2001:4:DEN:DAN2:TVL:81:36;DEN;DAN2;TVL;2001;75;76;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;3.1;0.97
2001:4:DEN:DAN2:TVL:83:37;DEN;DAN2;TVL;2001;75;69;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;3.1;0.97
2001:4:DEN:DAN2:TVL:93:38;DEN;DAN2;TVL;2001;75;44;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;2.9;1.03
2001:4:DEN:DAN2:TVL:94:39;DEN;DAN2;TVL;2001;75;77;63.46;81.34105677;42.5182;19.41142838;0.453883097;1;3;1
