HH,1,LAT,4576,LBT,-9,-9,-9,1,1,1978,1,22,0750,-9,60,D,57.8833,21.6667,57.9167,21.7000,44H1,43,V,-9,1,1,C,-9,-9,-9,-9,225,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,180,4,-9,1,-9,-9,-9,-9,-9,-9
HL,1,LAT,4576,LBT,-9,-9,-9,1,1,1978,W,126436,1,-9,72,1,72,1,-9,10120,1,26,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,1,LAT,4576,LBT,-9,-9,-9,1,1,1978,W,126436,1,-9,72,1,72,1,-9,10120,1,33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,1,LAT,4576,LBT,-9,-9,-9,1,1,1978,W,126436,1,-9,72,1,72,1,-9,10120,1,31,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,1,LAT,4576,LBT,-9,-9,-9,1,1,1978,W,126436,1,-9,72,1,72,1,-9,10120,1,30,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,1,LAT,4576,LBT,-9,-9,-9,1,1,1978,W,126436,1,-9,72,1,72,1,-9,10120,1,29,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,1,LAT,4576,LBT,-9,-9,-9,1,1,1978,W,126436,1,-9,72,1,72,1,-9,10120,1,27,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,1,LAT,4576,LBT,-9,-9,-9,1,1,1978,W,126436,1,-9,72,1,72,1,-9,10120,1,25,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,1,LAT,4576,LBT,-9,-9,-9,1,1,1978,W,126436,1,-9,72,1,72,1,-9,10120,1,24,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,1,LAT,4576,LBT,-9,-9,-9,1,1,1978,W,126436,1,-9,72,1,72,1,-9,10120,1,23,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,1,LAT,4576,LBT,-9,-9,-9,1,1,1978,W,126436,1,-9,72,1,72,1,-9,10120,1,21,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,1,LAT,4576,LBT,-9,-9,-9,1,1,1978,W,126436,1,-9,72,1,72,1,-9,10120,1,20,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,1,LAT,4576,LBT,-9,-9,-9,1,1,1978,W,126436,1,-9,72,1,72,1,-9,10120,1,19,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,1,LAT,4576,LBT,-9,-9,-9,1,1,1978,W,126436,1,-9,72,1,72,1,-9,10120,1,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,1,LAT,4576,LBT,-9,-9,-9,1,1,1978,W,126436,1,-9,72,1,72,1,-9,10120,1,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,1,LAT,4576,LBT,-9,-9,-9,1,1,1978,W,126436,1,-9,72,1,72,1,-9,10120,1,22,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,1,LAT,4576,LBT,-9,-9,-9,1,1,1978,W,126436,1,-9,72,1,72,1,-9,10120,1,28,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,1,LAT,4576,LBT,-9,-9,-9,1,1,1978,W,126436,4,28,1,21,U,I,-9,1,1,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,1,LAT,4576,LBT,-9,-9,-9,1,1,1978,W,126436,4,28,1,25,F,II,-9,1,1,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,1,LAT,4576,LBT,-9,-9,-9,1,1,1978,W,126436,4,28,1,23,U,I,-9,1,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,1,LAT,4576,LBT,-9,-9,-9,1,1,1978,W,126436,4,28,1,29,F,II,-9,2,1,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,1,LAT,4576,LBT,-9,-9,-9,1,1,1978,W,126436,4,28,1,24,F,II,-9,1,1,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
