HH,2,LAT,0027,LBT,-9,-9,-9,4,1,1984,4,8,0730,-9,30,D,55.1000,20.3833,55.1000,20.3333,39H0,40,V,-9,1,1,C,-9,-9,-9,-9,150,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,90,2,-9,0,4,-9,-9,-9,-9,-9
HL,2,LAT,0027,LBT,-9,-9,-9,4,1,1984,W,126436,4,-9,2,1,-9,1,-9,-9,-9,-9,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH,2,LAT,0027,LBT,-9,-9,-9,4,2,1984,4,8,0915,-9,30,D,55.1000,20.1667,55.1000,20.1000,39H0,60,V,-9,1,1,C,-9,-9,-9,-9,250,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,90,2,-9,0,-9,-9,-9,-9,-9,-9
HL,2,LAT,0027,LBT,-9,-9,-9,4,2,1984,W,126436,4,-9,12,1,-9,1,-9,-9,-9,-9,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH,2,LAT,0027,LBT,-9,-9,-9,4,3,1984,4,8,1150,-9,30,D,55.0500,19.7000,55.0500,19.6500,39G9,84,V,-9,1,1,C,-9,-9,-9,-9,250,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,90,2,-9,0,9,-9,-9,-9,-9,-9
HL,2,LAT,0027,LBT,-9,-9,-9,4,3,1984,W,126436,1,-9,276,1,138,1,-9,240000,1,37,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,2,LAT,0027,LBT,-9,-9,-9,4,3,1984,W,126436,1,-9,276,1,138,1,-9,240000,1,48,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,2,LAT,0027,LBT,-9,-9,-9,4,3,1984,W,126436,1,-9,276,1,138,1,-9,240000,1,47,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,2,LAT,0027,LBT,-9,-9,-9,4,3,1984,W,126436,1,-9,276,1,138,1,-9,240000,1,46,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,2,LAT,0027,LBT,-9,-9,-9,4,3,1984,W,126436,1,-9,276,1,138,1,-9,240000,1,44,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,2,LAT,0027,LBT,-9,-9,-9,4,3,1984,W,126436,1,-9,276,1,138,1,-9,240000,1,42,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,2,LAT,0027,LBT,-9,-9,-9,4,3,1984,W,126436,1,-9,276,1,138,1,-9,240000,1,41,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,2,LAT,0027,LBT,-9,-9,-9,4,3,1984,W,126436,1,-9,276,1,138,1,-9,240000,1,49,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,2,LAT,0027,LBT,-9,-9,-9,4,3,1984,W,126436,1,-9,276,1,138,1,-9,240000,1,38,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,2,LAT,0027,LBT,-9,-9,-9,4,3,1984,W,126436,1,-9,276,1,138,1,-9,240000,1,53,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,2,LAT,0027,LBT,-9,-9,-9,4,3,1984,W,126436,1,-9,276,1,138,1,-9,240000,1,36,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,2,LAT,0027,LBT,-9,-9,-9,4,3,1984,W,126436,1,-9,276,1,138,1,-9,240000,1,35,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,2,LAT,0027,LBT,-9,-9,-9,4,3,1984,W,126436,1,-9,276,1,138,1,-9,240000,1,34,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,2,LAT,0027,LBT,-9,-9,-9,4,3,1984,W,126436,1,-9,276,1,138,1,-9,240000,1,33,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,2,LAT,0027,LBT,-9,-9,-9,4,3,1984,W,126436,1,-9,276,1,138,1,-9,240000,1,39,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,2,LAT,0027,LBT,-9,-9,-9,4,3,1984,W,126436,1,-9,276,1,138,1,-9,240000,1,58,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,2,LAT,0027,LBT,-9,-9,-9,4,3,1984,W,126436,1,-9,276,1,138,1,-9,240000,1,75,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,2,LAT,0027,LBT,-9,-9,-9,4,3,1984,W,126436,1,-9,276,1,138,1,-9,240000,1,71,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,2,LAT,0027,LBT,-9,-9,-9,4,3,1984,W,126436,1,-9,276,1,138,1,-9,240000,1,69,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,2,LAT,0027,LBT,-9,-9,-9,4,3,1984,W,126436,1,-9,276,1,138,1,-9,240000,1,68,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,2,LAT,0027,LBT,-9,-9,-9,4,3,1984,W,126436,1,-9,276,1,138,1,-9,240000,1,62,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
