N;FROMYEAR;STA_FROMDATETIME;VESS_SIGNAL;VESS_NAME;VESS_DISTRICT;TYPE;STA_SAMPTYPE_CODENOID;SAMPTYPE_NAMEENG;STA_SUBDIV_SUBDIV;SUBNAMN;STA_ICESRECT_RUTA;LATSTART_DEG;LONGSTART_DEG;LATSTOP_DEG;LONGSTOP_DEG;STA_DURATION;STA_SPEED;STA_DIST;STA_COURSE;STA_BOTSTART;STA_BOTSTOP;STA_BOTMAX;STA_BOTAVG;GEARMOD_REDSKAP_REDSKKOD;REDSKENG;GEARMOD_NAMEENG;STA_SELECTIONDEVICE;STA_SELECTIONDEVICEMESH;STA_HEADROPEDEPTHMAX;STA_HEADROPEDEPTHMIN;STA_FOOTROPEDEPTH;TOTD_NAMEENG;TOTD_AREA;STA_SWEEPLENGTH;STA_STROPLENGTHDOORFLOATS;STAVALCODE_DESCENG;index;Lat1;Lon1;LATDD;LONGDD;Size.final..m.;Size.final..foot.;Horizontal.opening..m.;Fishing line (foot);Swep both side (after formula) (meter);Swep.both.side..after.formula...foot.;sweep both sides (foot);Swept.area;RSA;RS
1;2009;2009-08-05 00:00;SFB-2960;NORÖ;KR - 192;Swedish vessel;80;Coastal Laboratory - DCF;27;Sub-27 (Östersjön-Väster om Gotland);4362;57 11,000;17 07,000;;;;;;;;;;;711;GNS Gillnet set;GNS GILL NET FOR FLOUNDERS;0;;;;;;;75;;Valid;SFB-2960.2009.999;5711;1707;57.183;17.117;0;0;0;;0;0;;0;;
2;2014;2014-12-09 00:00;SLOT;RÖNNSKÄR;HL - 94;Swedish vessel;80;Coastal Laboratory - DCF;30;Sub-30 (Bottenhavet);5262;61 58,000;17 26,000;;;90;;;;;;;;321;OTM Otter trawl midwater;OTM PELAGIC TRAWL FOR HERRING;0;;;;;;;;;Valid;SLOT.2014.999;6158;1726;61.967;17.433;0;0;0;;0;0;;0;;
3;1982;1982-11-30 10:00;SEPM;THETIS;;Swedish vessel;6;BITS;24;Sub-24 (Östersjön-Västra);3958;55 12,000;13 45,800;55 14,100;13 42,200;60;3.5;3.5;300;44;43;;43;319;OTB Otter trawl bottom;OTB BOTTOM TRAWL FOR COD;0;0;;;;;;135;;Valid;SEPM.1982.56;5512;1345.8;55.2;13.763;86.21842218;282.8688392;16.33728;80;69.88114218;229.2688392;885.8267717;0.481098796;0.94;0.9
4;2011;2011-09-22 00:00;SFB-6947;SILVERVÅG;UÅ - 57;Swedish vessel;80;Coastal Laboratory - DCF;31;Sub-31 (Bottenviken);5766;64 16,000;21 17,000;;;300;;;;;;;;721;GNS Gillnet set;GNS GILL NET FOR HERRING;;;;;;;;;;Valid;SFB-6947.2011.999;6416;2117;64.267;21.283;0;0;0;;0;0;;0;;
5;2010;2010-04-08 21:35;SCPZ;VINGASKÄR AV STYRSÖ;GG - 500;Swedish vessel;18;Planfish;27;Sub-27 (Östersjön-Väster om Gotland);4362;57 24,948;17 01,389;57 24,586;17 01,557;9;2.8;0.42;;55;55;;55;321;OTM Otter trawl midwater;OTM PELAGIC TRAWL FOR HERRING;;;;;;;;50;;Valid;SCPZ.2010.6;5724.948;1701.389;57.416;17.023;0;0;0;;0;0;;0;;1.1
6;2010;2010-06-08 18:50;SCPZ;VINGASKÄR AV STYRSÖ;GG - 500;Swedish vessel;18;Planfish;27;Sub-27 (Östersjön-Väster om Gotland);4361;57 11,700;16 44,000;57 13,200;16 44,700;25;3.5;1.46;;35;38;;36.5;321;OTM Otter trawl midwater;OTM PELAGIC TRAWL FOR HERRING;;;;;;;;50;;Valid;SCPZ.2010.2;5711.7;1644;57.195;16.733;0;0;0;;0;0;;0;;0.9
7;2000;2000-06-02 13:05;SCBD;BOKÖLAND;VY - 76;Swedish vessel;18;Planfish;27;Sub-27 (Östersjön-Väster om Gotland);4361;57 24,300;16 55,400;57 33,100;16 58,800;310;;;;45;;;;314;OTB Otter trawl bottom;OTB BOTTOM TRAWL FOR HERRING;;;;;;;;;;Valid;SCBD.2000.4;5724.3;1655.4;57.405;16.923;0;0;0;;0;0;;0;;
8;2014;2014-07-24 00:00;SFB-9664;;SN - 30;Swedish vessel;80;Coastal Laboratory - DCF;30;Sub-30 (Bottenhavet);5162;61 20,000;17 10,000;;;1200;;;;;;;;721;GNS Gillnet set;GNS GILL NET FOR HERRING;0;;;;;;;;;Valid;SFB-9664.2014.999;6120;1710;61.333;17.167;0;0;0;;0;0;;0;;
9;2010;2010-05-24 23:44;SCPZ;VINGASKÄR AV STYRSÖ;GG - 500;Swedish vessel;18;Planfish;27;Sub-27 (Östersjön-Väster om Gotland);4361;57 24,598;16 54,011;57 25,286;16 52,409;19;3.9;1.24;;42;43;;42;321;OTM Otter trawl midwater;OTM PELAGIC TRAWL FOR HERRING;;;;;;;;50;;Valid;SCPZ.2010.4;5724.598;1654.011;57.41;16.9;0;0;0;;0;0;;0;;0.8
10;2014;2014-06-01 00:00;SFB-2741;ATHENA;HA - 26;Swedish vessel;80;Coastal Laboratory - DCF;31;Sub-31 (Bottenviken);6067;65 46,000;22 43,000;;;300;;;;;;;;721;GNS Gillnet set;GNS GILL NET FOR HERRING;0;;;;;;;;;Valid;SFB-2741.2014.999;6546;2243;65.767;22.717;0;0;0;;0;0;;0;;
11;2013;2013-07-16 00:00;SFB-9664;;SN - 30;Swedish vessel;80;Coastal Laboratory - DCF;30;Sub-30 (Bottenhavet);5162;61 20,000;17 10,000;;;;;;;;;;;721;GNS Gillnet set;GNS GILL NET FOR HERRING;0;;;;;;;;;Valid;SFB-9664.2013.999;6120;1710;61.333;17.167;0;0;0;;0;0;;0;;
12;2013;2013-05-28 00:00;SFB-9664;;SN - 30;Swedish vessel;80;Coastal Laboratory - DCF;30;Sub-30 (Bottenhavet);5162;61 25,000;17 12,000;;;600;;;;;;;;721;GNS Gillnet set;GNS GILL NET FOR HERRING;0;;;;;;;;;Valid;SFB-9664.2013.999;6125;1712;61.417;17.2;0;0;0;;0;0;;0;;
13;1988;1988-10-16 07:30;SPGXXXX;WLA-302;;Research vessel;2;Acoustics (BIAS, Hersur) ;25;Sub-25 (Östersjön-Södra centrala V);3760;54 27,000;15 17,000;;;30;;;;;;;31;321;OTM Otter trawl midwater;OTM PELAGIC TRAWL FOR HERRING;;;;;;;;;;Invalid;SPGXXXX.1988.10;5427;1517;54.45;15.283;0;0;0;;0;0;;0;;
14;1985;1985-08-30 20:15;SEPI;ARGOS;;Research vessel;2;Acoustics (BIAS, Hersur) ;24;Sub-24 (Östersjön-Västra);3857;54 50,000;12 59,300;54 51,300;12 59,900;30;3.8;1.9;999;;;;27;321;OTM Otter trawl midwater;FOTÖ ONEBOAT PELAGIC TRAWL 3.2 M;0;0;;;;;;;;Valid;SEPI.1985.144;5450;1259.3;54.833;12.988;0;0;0;;0;0;;0;;0.8
15;1985;1985-10-02 13:30;SEPI;ARGOS;;Research vessel;2;Acoustics (BIAS, Hersur) ;24;Sub-24 (Östersjön-Västra);3958;55 12,500;13 32,300;55 12,600;13 34,000;15;4;1;90;;;;43;321;OTM Otter trawl midwater;FOTÖ ONEBOAT PELAGIC TRAWL 3.2 M;0;0;;;;;;;;Valid;SEPI.1985.155;5512.5;1332.3;55.208;13.538;0;0;0;;0;0;;0;;0.8
16;1995;1995-10-03 12:59;SEPI;ARGOS;;Research vessel;2;Acoustics (BIAS, Hersur) ;25;Sub-25 (Östersjön-Södra centrala V);3960;55 19,200;15 26,300;55 17,200;15 27,300;30;4.1;1.8;170;;;;94;321;OTM Otter trawl midwater;FOTÖ ONEBOAT PELAGIC TRAWL 3.2 M;0;0;;;;;;108;;Valid;SEPI.1995.233;5519.2;1526.3;55.32;15.438;0;0;0;;0;0;;0;;0.7
17;1990;1990-10-15 06:44;SQAC;PROFESOR SIEDLECKI;;Research vessel;2;Acoustics (BIAS, Hersur) ;25;Sub-25 (Östersjön-Södra centrala V);3960;55 02,000;15 25,000;;;38;3.5;2.22;;;;;83;321;OTM Otter trawl midwater;OTM PELAGIC TRAWL FOR HERRING;0;0;;;;;;;;Valid;SQAC.1990.3;5502;1525;55.033;15.417;0;0;0;;0;0;;0;;0.9
18;1992;1992-08-11 14:10;SEPI;ARGOS;;Research vessel;6;BITS;23;Sub-23 (Öresund);4057;55 56,779;12 42,300;55 57,899;12 41,400;35;3;1.8;999;;;;26;316;OTB Otter trawl bottom;GOV (GRAND OUVERTURE VERTICALE);0;0;;;;;;50;;Valid;SEPI.1992.97;5556.779;1242.3;55.946;12.705;58.55646451;192.1143849;32.67456;160;25.88190451;84.91438488;328.0839895;0.326745072;1.39;1
19;1994;1994-10-05 08:44;SEPI;ARGOS;;Research vessel;2;Acoustics (BIAS, Hersur) ;25;Sub-25 (Östersjön-Södra centrala V);4060;55 35,729;15 47,439;55 34,680;15 40,930;63;3.8;4.2;220;;;;73;321;OTM Otter trawl midwater;FOTÖ ONEBOAT PELAGIC TRAWL 3.2 M;0;0;63;48;;;;108;;Valid;SEPI.1994.220;5535.729;1547.439;55.595;15.791;0;0;0;;0;0;;0;;0.8
20;1989;1989-03-13 15:30;SEPI;ARGOS;;Research vessel;6;BITS;25;Sub-25 (Östersjön-Södra centrala V);4060;55 43,799;15 52,800;55 43,799;15 55,800;30;3.5;1.8;90;;;;67;316;OTB Otter trawl bottom;GOV (GRAND OUVERTURE VERTICALE);0;0;;;;;;50;;Valid;SEPI.1989.88;5543.799;1552.8;55.73;15.88;58.55646451;192.1143849;32.67456;160;25.88190451;84.91438488;328.0839895;0.326745072;1.39;0.9
21;2006;2006-03-10 06:32;SEPI;ARGOS;;Research vessel;6;BITS;25;Sub-25 (Östersjön-Södra centrala V);4061;55 44,960;16 20,010;55 46,460;16 20,040;30;3;1.51;360;64;62;;63;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;0;0;;;;;;75;;Valid;SEPI.2006.209;5544.96;1620.01;55.749;16.334;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
22;1997;1997-11-19 12:59;SEPI;ARGOS;;Research vessel;6;BITS;25;Sub-25 (Östersjön-Södra centrala V);4061;55 40,399;16 28,500;55 40,600;16 31,400;30;3.4;1.7;80;;;;65;319;OTB Otter trawl bottom;FOTÖ BOTTOM TRAWL FOR COD;0;0;;;;;;225;;Valid;SEPI.1997.741;5540.399;1628.5;55.673;16.475;133.4184983;437.7247319;16.949928;83;116.4685703;382.1147319;1476.377953;0.74447522;0.61;0.9
23;1994;1994-03-03 10:12;SEPI;ARGOS;;Research vessel;6;BITS;25;Sub-25 (Östersjön-Södra centrala V);4062;55 50,299;17 41,800;55 51,500;17 40,000;30;3.1;1.6;320;;;;61;319;OTB Otter trawl bottom;FOTÖ BOTTOM TRAWL FOR COD;0;0;;;;;;180;18;Valid;SEPI.1994.60;5550.299;1741.8;55.838;17.697;110.1247842;361.3017856;16.949928;83;93.17485624;305.6917856;1181.102362;0.614496296;0.74;1
24;1994;1994-10-12 07:45;SEPI;ARGOS;;Research vessel;2;Acoustics (BIAS, Hersur) ;25;Sub-25 (Östersjön-Södra centrala V);4062;55 55,709;17 06,790;55 56,109;17 03,479;31;3.8;2;280;;;;47;321;OTM Otter trawl midwater;FOTÖ ONEBOAT PELAGIC TRAWL 3.2 M;0;0;43;26;;;;108;;Valid;SEPI.1994.228;5555.709;1706.79;55.928;17.113;0;0;0;;0;0;;0;;0.8
25;1996;1996-03-05 06:21;SEPI;ARGOS;;Research vessel;6;BITS;26;Sub-26 (Östersjön-Södra centrala Ö);4063;55 32,799;18 24,900;55 33,799;18 22,599;30;3.5;1.68;308;;;;91;319;OTB Otter trawl bottom;FOTÖ BOTTOM TRAWL FOR COD;0;0;;;;;;203;18;Valid;SEPI.1996.76;5532.799;1824.9;55.547;18.415;122.0304603;400.3624026;16.949928;83;105.0805323;344.7524026;1332.020997;0.680929969;0.67;0.9
26;2007;2007-11-23 07:14;SEPI;ARGOS;;Research vessel;6;BITS;25;Sub-25 (Östersjön-Södra centrala V);4161;56 29,990;16 57,221;56 28,550;16 57,727;30;3;1.5;169;72;71;;71;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;0;0;;;;;;75;;Valid;SEPI.2007.693;5629.99;1657.221;56.5;16.954;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
27;1994;1994-11-22 06:28;SEPI;ARGOS;;Research vessel;6;BITS;26;Sub-26 (Östersjön-Södra centrala Ö);4163;56 15,200;18 29,000;56 13,899;18 27,199;30;3.2;1.6;225;;;;74;319;OTB Otter trawl bottom;FOTÖ BOTTOM TRAWL FOR COD;0;0;;;;;;185;;Valid;SEPI.1994.283;5615.2;1829;56.253;18.483;112.7129747;369.793224;16.949928;83;95.76304669;314.183224;1213.910761;0.628938399;0.72;0.9
28;1999;1999-11-24 12:24;SEPI;ARGOS;;Research vessel;6;BITS;26;Sub-26 (Östersjön-Södra centrala Ö);4163;56 27,899;18 40,699;56 29,399;18 42,099;30;3.3;1.67;28;75;72;;73;319;OTB Otter trawl bottom;FOTÖ BOTTOM TRAWL FOR COD;0;0;;;;;;225;;Valid;SEPI.1999.664;5627.899;1840.699;56.465;18.678;133.4184983;437.7247319;16.949928;83;116.4685703;382.1147319;1476.377953;0.74447522;0.61;0.9
29;1996;1996-10-23 06:39;SEPI;ARGOS;;Research vessel;2;Acoustics (BIAS, Hersur) ;26;Sub-26 (Östersjön-Södra centrala Ö);4163;56 01,350;18 22,869;55 59,879;18 20,689;30;3.9;1.9;219;;;;91;321;OTM Otter trawl midwater;FOTÖ ONEBOAT PELAGIC TRAWL 3.2 M;0;0;;;;;;108;;Valid;SEPI.1996.179;5601.35;1822.869;56.023;18.381;0;0;0;;0;0;;0;;0.8
30;1989;1989-11-02 15:15;Y4RB;EISBÄR;;Research vessel;2;Acoustics (BIAS, Hersur) ;26;Sub-26 (Östersjön-Södra centrala Ö);4163;56 07,000;18 39,000;;;45;3.2;2.4;;;;;102;321;OTM Otter trawl midwater;OTM PELAGIC TRAWL FOR HERRING;0;0;;;;;;;;Valid;Y4RB.1989.93;5607;1839;56.117;18.65;0;0;0;;0;0;;0;;0.9
31;1990;1990-10-18 05:30;Y4RA;ERNST HAECKEL;;Research vessel;2;Acoustics (BIAS, Hersur) ;26;Sub-26 (Östersjön-Södra centrala Ö);4164;56 24,000;19 18,000;;;30;4.6;2.3;;;;;131;321;OTM Otter trawl midwater;OTM PELAGIC TRAWL FOR HERRING;0;0;50;30;;;;;;Valid;Y4RA.1990.183;5624;1918;56.4;19.3;0;0;0;;0;0;;0;;0.7
32;2012;2012-02-21 12:15;OXBH;DANA;;Research vessel;6;BITS;27;Sub-27 (Östersjön-Väster om Gotland);4261;56 32,340;16 55,000;56 33,860;16 54,940;30;3;1.51;358;72;73;;72;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;0;0;;;;;;75;;Valid;OXBH.2012.41;5632.34;1655;56.539;16.917;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
33;1998;1998-12-04 13:09;SEPI;ARGOS;;Research vessel;6;BITS;27;Sub-27 (Östersjön-Väster om Gotland);4262;56 59,799;17 57,060;57 01,640;17 57,420;30;3.7;1.9;5;;;;66;319;OTB Otter trawl bottom;FOTÖ BOTTOM TRAWL FOR COD;0;0;;;;;;185;;Valid;SEPI.1998.738;5659.799;1757.06;56.997;17.951;112.7129747;369.793224;16.949928;83;95.76304669;314.183224;1213.910761;0.628938399;0.72;0.8
34;1990;1990-10-19 19:55;Y4RA;ERNST HAECKEL;;Research vessel;2;Acoustics (BIAS, Hersur) ;28;Sub-28 (Östersjön-Öster om Gotland);4263;56 37,000;18 51,000;;;30;3.9;1.95;;70;54;;62;321;OTM Otter trawl midwater;OTM PELAGIC TRAWL FOR HERRING;0;0;;;;;;;;Valid;Y4RA.1990.191;5637;1851;56.617;18.85;0;0;0;;0;0;;0;;0.8
35;2003;2003-11-17 07:16;SEPI;ARGOS;;Research vessel;6;BITS;27;Sub-27 (Östersjön-Väster om Gotland);4361;57 21,950;16 54,920;57 23,130;16 53,390;30;3;1.51;327;44;44;;44;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;0;0;;;;;;50;;Valid;SEPI.2003.705;5721.95;1654.92;57.366;16.915;68.35883251;224.2743849;42.476928;208;25.88190451;84.91438488;328.0839895;0.381442285;1.19;1
36;1997;1997-03-11 08:07;SEPI;ARGOS;;Research vessel;6;BITS;27;Sub-27 (Östersjön-Väster om Gotland);4361;57 26,899;16 59,599;57 25,299;17 01,000;30;3.6;1.79;154;;;;57;319;OTB Otter trawl bottom;FOTÖ BOTTOM TRAWL FOR COD;0;0;;;;;;135;;Valid;SEPI.1997.228;5726.899;1659.599;57.448;16.993;86.83107018;284.8788392;16.949928;83;69.88114218;229.2688392;885.8267717;0.484517372;0.94;0.8
37;1995;1995-12-06 07:13;SEPI;ARGOS;;Research vessel;6;BITS;27;Sub-27 (Östersjön-Väster om Gotland);4362;57 02,250;17 57,250;57 00,290;17 57,109;30;3.9;2;181;;;;68;319;OTB Otter trawl bottom;FOTÖ BOTTOM TRAWL FOR COD;0;0;;;;;;203;18;Valid;SEPI.1995.253;5702.25;1757.25;57.038;17.954;122.0304603;400.3624026;16.949928;83;105.0805323;344.7524026;1332.020997;0.680929969;0.67;0.8
38;2014;2014-11-18 07:25;OXBH;DANA;;Research vessel;6;BITS;27;Sub-27 (Östersjön-Väster om Gotland);4362;57 06,050;17 17,090;57 07,560;17 17,430;30;3;1.52;42;72;71;;72;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;;;;;;"Thyborön 100""";4;75;;Valid;OXBH.2014.31;5706.05;1717.09;57.101;17.285;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
39;2011;2011-11-24 13:45;OXBH;DANA;;Research vessel;6;BITS;27;Sub-27 (Östersjön-Väster om Gotland);4362;57 28,990;17 43,560;57 27,520;17 44,190;30;3;1.5;;112;105;;108;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;;;;;;;;;;No oxygen;OXBH.2011.26;5728.99;1743.56;57.483;17.726;42.476928;139.36;42.476928;208;0;0;0;0.237021258;1.91;1
40;2004;2004-10-05 08:47;SEPI;ARGOS;;Research vessel;2;Acoustics (BIAS, Hersur) ;27;Sub-27 (Östersjön-Väster om Gotland);4362;57 07,970;17 44,410;57 10,000;17 44,290;30;3.3;1.7;358;106;108;;107;321;OTM Otter trawl midwater;MACRO 4 ONE BOAT PELAGIC TRAWL;0;0;;;;DAN greens flyt;6;;;Valid;SEPI.2004.624;5707.97;1744.41;57.133;17.74;0;0;0;;0;0;;0;;0.9
41;1988;1988-03-09 10:30;SEPI;ARGOS;;Research vessel;6;BITS;27;Sub-27 (Östersjön-Väster om Gotland);4362;57 04,200;17 52,099;57 02,500;17 52,400;30;3.6;1.8;180;;;;86;316;OTB Otter trawl bottom;GOV (GRAND OUVERTURE VERTICALE);0;0;;;;;;50;;Valid;SEPI.1988.64;5704.2;1752.099;57.07;17.868;58.55646451;192.1143849;32.67456;160;25.88190451;84.91438488;328.0839895;0.326745072;1.39;0.8
42;1996;1996-03-07 13:39;SEPI;ARGOS;;Research vessel;6;BITS;28;Sub-28 (Östersjön-Öster om Gotland);4363;57 10,399;18 51,800;57 09,700;18 48,699;30;3.7;1.88;245;;;;54;319;OTB Otter trawl bottom;FOTÖ BOTTOM TRAWL FOR COD;0;0;;;;;;203;18;Valid;SEPI.1996.87;5710.399;1851.8;57.173;18.863;122.0304603;400.3624026;16.949928;83;105.0805323;344.7524026;1332.020997;0.680929969;0.67;0.8
43;2012;2012-02-27 06:13;OXBH;DANA;;Research vessel;6;BITS;28;Sub-28 (Östersjön-Öster om Gotland);4363;57 10,530;18 52,160;57 10,090;18 49,960;26;3;1.28;250;53;47;;49;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;0;0;;;;;;75;;Valid;OXBH.2012.73;5710.53;1852.16;57.176;18.869;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
44;2003;2003-03-13 13:56;SEPI;ARGOS;;Research vessel;6;BITS;28;Sub-28 (Östersjön-Öster om Gotland);4364;57 15,260;19 04,120;57 16,430;19 05,670;30;2.9;1.46;35;83;84;;83;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;0;0;;;;;;60;;Valid;SEPI.2003.262;5715.26;1904.12;57.254;19.069;73.53521341;241.2572619;42.476928;208;31.05828541;101.8972619;393.7007874;0.410326491;1.11;1
45;2011;2011-10-11 05:26;OXBH;DANA;;Research vessel;2;Acoustics (BIAS, Hersur) ;28;Sub-28 (Östersjön-Öster om Gotland);4364;57 26,920;19 40,360;57 26,470;19 45,940;50;3.6;3.1;100;97;156;;126;321;OTM Otter trawl midwater;FOTÖ ONEB PEL.TR 3.2M 6MM 2010;0;0;;;;DAN greens flyt;6;;;Valid;OXBH.2011.758;5726.92;1940.36;57.449;19.673;0;0;0;;0;0;;0;;0.8
46;1998;1998-03-04 10:04;SEPI;ARGOS;;Research vessel;6;BITS;28;Sub-28 (Östersjön-Öster om Gotland);4365;57 15,120;20 44,619;57 13,520;20 43,880;30;3.4;1.7;193;72;73;;72;319;OTB Otter trawl bottom;FOTÖ BOTTOM TRAWL FOR COD;0;0;;;;;;225;;Valid;SEPI.1998.222;5715.12;2044.619;57.252;20.744;133.4184983;437.7247319;16.949928;83;116.4685703;382.1147319;1476.377953;0.74447522;0.61;0.9
47;2008;2008-02-25 10:00;SEPI;ARGOS;;Research vessel;6;BITS;27;Sub-27 (Östersjön-Väster om Gotland);4463;57 43,210;18 16,700;57 44,500;18 18,150;30;3;1.5;32;101;108;;104;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;;;;;;;;;;No oxygen;SEPI.2008.199;5743.21;1816.7;57.72;18.278;42.476928;139.36;42.476928;208;0;0;0;0.237021258;1.91;1
48;2011;2011-03-23 07:29;SIKW;MIMER;;Research vessel;6;BITS;28;Sub-28 (Östersjön-Öster om Gotland);4464;57 35,530;19 09,000;57 36,440;19 09,770;20;3.1;1.01;24;48;48;;49;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;0;0;;;;;;75;;Valid;SIKW.2011.71;5735.53;1909;57.592;19.15;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
49;2014;2014-10-10 01:41;OXBH;DANA;;Research vessel;2;Acoustics (BIAS, Hersur) ;28;Sub-28 (Östersjön-Öster om Gotland);4464;57 34,535;19 25,788;57 37,585;19 29,865;60;3.8;3.76;36;86;97;104;92.1;321;OTM Otter trawl midwater;FOTÖ ONEB PEL.TR 3.2M 6MM 2010;;;;;;Tyborön VF 15;4;108;;Valid;OXBH.2014.69;5734.535;1925.788;57.576;19.43;0;0;0;;0;0;;0;;0.8
50;2011;2011-10-08 03:20;OXBH;DANA;;Research vessel;2;Acoustics (BIAS, Hersur) ;27;Sub-27 (Östersjön-Väster om Gotland);4663;58 37,790;18 18,680;58 38,970;18 19,540;30;3.5;1.9;340;238;379;;308;321;OTM Otter trawl midwater;FOTÖ ONEB PEL.TR 3.2M 6MM 2010;0;0;;;;DAN greens flyt;6;;;Valid;OXBH.2011.745;5837.79;1818.68;58.63;18.311;0;0;0;;0;0;;0;;0.9
51;1988;1988-11-01 01:50;SEPI;ARGOS;;Research vessel;2;Acoustics (BIAS, Hersur) ;29S;Sub-29S (Skärgårdshavet, S 59.30);4665;58 30,399;20 17,800;58 32,200;20 17,199;30;3.6;1.8;320;;;;114;321;OTM Otter trawl midwater;FOTÖ ONEBOAT PELAGIC TRAWL 3.2 M;0;0;;;;;;108;;Valid;SEPI.1988.270;5830.399;2017.8;58.507;20.297;0;0;0;;0;0;;0;;0.8
52;2007;2007-10-01 04:39;SEPI;ARGOS;;Research vessel;2;Acoustics (BIAS, Hersur) ;30;Sub-30 (Bottenhavet);5564;63 08,930;19 27,680;63 09,590;19 31,230;30;3.5;1.7;67;171;153;;164;321;OTM Otter trawl midwater;FOTÖ ONEBOAT PEL. TR. 3.2 M 6MM;0;0;;;;DAN greens flyt;6;;;Valid;SEPI.2007.520;6308.93;1927.68;63.149;19.461;0;0;0;;0;0;;0;;0.9
53;1983;1983-09-29 18:45;SEPI;ARGOS;;Research vessel;2;Acoustics (BIAS, Hersur) ;24;Sub-24 (Östersjön-Västra);3858;54 54,700;13 18,200;54 53,600;13 20,300;30;3.4;1.7;100;;;;45;321;OTM Otter trawl midwater;FOTÖ ONEBOAT PELAGIC TRAWL 3.2 M;0;0;;;;;;;;Invalid;SEPI.1983.161;5454.7;1318.2;54.912;13.303;0;0;0;;0;0;;0;;0.9
54;1987;1987-09-29 17:10;SEPI;ARGOS;;Research vessel;2;Acoustics (BIAS, Hersur) ;24;Sub-24 (Östersjön-Västra);3858;54 56,399;13 16,099;54 59,000;13 18,300;60;4;4;337;;;;46;321;OTM Otter trawl midwater;FOTÖ ONEBOAT PELAGIC TRAWL 3.2 M;0;0;;;;;;108;;Valid;SEPI.1987.144;5456.399;1316.099;54.94;13.268;0;0;0;;0;0;;0;;0.8
55;1983;1983-03-23 07:30;SEPI;ARGOS;;Research vessel;6;BITS;24;Sub-24 (Östersjön-Västra);3958;55 12,800;13 39,300;55 12,500;13 34,200;60;3.1;3.1;265;43;43;;43;319;OTB Otter trawl bottom;OTB BOTTOM TRAWL FOR COD;0;0;;;;;;135;;Valid;SEPI.1983.80;5512.8;1339.3;55.213;13.655;86.21842218;282.8688392;16.33728;80;69.88114218;229.2688392;885.8267717;0.481098796;0.94;1
56;1989;1989-12-05 11:55;SEPI;ARGOS;;Research vessel;6;BITS;24;Sub-24 (Östersjön-Västra);3958;55 12,399;13 38,800;55 12,500;13 32,800;60;3.3;3.5;265;;;;44;319;OTB Otter trawl bottom;FOTÖ BOTTOM TRAWL FOR COD;0;0;;;;;;185;;Valid;SEPI.1989.296;5512.399;1338.8;55.207;13.647;112.7129747;369.793224;16.949928;83;95.76304669;314.183224;1213.910761;0.628938399;0.72;0.9
57;1985;1985-10-03 07:20;SEPI;ARGOS;;Research vessel;2;Acoustics (BIAS, Hersur) ;24;Sub-24 (Östersjön-Västra);3959;55 10,400;14 14,500;55 12,200;14 15,400;30;3.8;1.9;999;;;;47;321;OTM Otter trawl midwater;FOTÖ ONEBOAT PELAGIC TRAWL 3.2 M;0;0;;;;;;;;Valid;SEPI.1985.161;5510.4;1414.5;55.173;14.242;0;0;0;;0;0;;0;;0.8
58;1995;1995-10-10 14:15;SEPI;ARGOS;;Research vessel;2;Acoustics (BIAS, Hersur) ;25;Sub-25 (Östersjön-Södra centrala V);3960;55 19,799;15 33,599;55 18,200;15 31,400;31;4.1;2.2;225;;;;97;321;OTM Otter trawl midwater;FOTÖ ONEBOAT PELAGIC TRAWL 3.2 M;0;0;;;;;;108;;Valid;SEPI.1995.240;5519.799;1533.599;55.33;15.56;0;0;0;;0;0;;0;;0.7
59;1990;1990-10-06 01:30;Y4RA;ERNST HAECKEL;;Research vessel;2;Acoustics (BIAS, Hersur) ;25;Sub-25 (Östersjön-Södra centrala V);3960;55 16,000;15 52,000;;;30;;;;;;;92;321;OTM Otter trawl midwater;OTM PELAGIC TRAWL FOR HERRING;0;0;45;35;;;;;;Valid;Y4RA.1990.152;5516;1552;55.267;15.867;0;0;0;;0;0;;0;;
