N;FROMYEAR;STA_FROMDATETIME;VESS_SIGNAL;VESS_NAME;VESS_DISTRICT;TYPE;STA_SAMPTYPE_CODENOID;SAMPTYPE_NAMEENG;STA_SUBDIV_SUBDIV;SUBNAMN;STA_ICESRECT_RUTA;LATSTART_DEG;LONGSTART_DEG;LATSTOP_DEG;LONGSTOP_DEG;STA_DURATION;STA_SPEED;STA_DIST;STA_COURSE;STA_BOTSTART;STA_BOTSTOP;STA_BOTMAX;STA_BOTAVG;GEARMOD_REDSKAP_REDSKKOD;REDSKENG;GEARMOD_NAMEENG;STA_SELECTIONDEVICE;STA_SELECTIONDEVICEMESH;STA_HEADROPEDEPTHMAX;STA_HEADROPEDEPTHMIN;STA_FOOTROPEDEPTH;TOTD_NAMEENG;TOTD_AREA;STA_SWEEPLENGTH;STA_STROPLENGTHDOORFLOATS;STAVALCODE_DESCENG;index;Lat1;Lon1;LATDD;LONGDD;Size.final..m.;Size.final..foot.;Horizontal.opening..m.;Fishing line (foot);Swep both side (after formula) (meter);Swep.both.side..after.formula...foot.;sweep both sides (foot);Swept.area;RSA;RS
956;1998;1998-02-24 14:42;SEPI;ARGOS;;Research vessel;6;BITS;24;Sub-24 (Östersjön-Västra);3958;55 00,540;13 55,619;55 00,120;13 58,560;30;3.5;1.79;999;48;49;;48;319;OTB Otter trawl bottom;FOTÖ BOTTOM TRAWL FOR COD;0;0;;;;;;225;;Valid;SEPI.1998.199;5500.54;1355.619;55.009;13.927;133.4184983;437.7247319;16.949928;83;116.4685703;382.1147319;1476.377953;0.74447522;0.61;0.9
957;1987;1987-10-02 10:36;Y4RB;EISBÄR;;Research vessel;2;Acoustics (BIAS, Hersur) ;24;Sub-24 (Östersjön-Västra);3958;55 06,000;13 11,000;;;30;3.9;1.95;;37;35;;36;321;OTM Otter trawl midwater;OTM PELAGIC TRAWL FOR HERRING;0;0;;;;;;;;Valid;Y4RB.1987.380;5506;1311;55.1;13.183;0;0;0;;0;0;;0;;0.8
958;1999;1999-03-04 08:03;SEPI;ARGOS;;Research vessel;6;BITS;25;Sub-25 (Östersjön-Södra centrala V);4059;55 35,500;14 36,900;55 35,000;14 39,900;30;3.6;1.75;108;;;;72;319;OTB Otter trawl bottom;FOTÖ BOTTOM TRAWL FOR COD;0;0;;;;;;203;;Valid;SEPI.1999.206;5535.5;1436.9;55.592;14.615;122.0304603;400.3624026;16.949928;83;105.0805323;344.7524026;1332.020997;0.680929969;0.67;0.8
959;1988;1988-03-02 08:30;SEPI;ARGOS;;Research vessel;6;BITS;25;Sub-25 (Östersjön-Södra centrala V);4059;55 34,399;14 41,300;55 38,799;14 43,900;30;3.6;1.8;125;;;;69;316;OTB Otter trawl bottom;GOV (GRAND OUVERTURE VERTICALE);0;0;;;;;;50;;Valid;SEPI.1988.45;5534.399;1441.3;55.573;14.688;58.55646451;192.1143849;32.67456;160;25.88190451;84.91438488;328.0839895;0.326745072;1.39;0.8
960;2010;2010-03-03 13:13;SEPI;ARGOS;;Research vessel;6;BITS;25;Sub-25 (Östersjön-Södra centrala V);4060;55 48,345;15 49,827;55 47,966;15 47,197;30;3;1.53;256;56;54;;56;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;0;0;;;;;;75;;Valid;SEPI.2010.232;5548.345;1549.827;55.806;15.83;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
961;1992;1992-10-05 09:03;SEPI;ARGOS;;Research vessel;2;Acoustics (BIAS, Hersur) ;25;Sub-25 (Östersjön-Södra centrala V);4060;55 58,799;15 24,989;55 56,959;15 22,109;40;3.7;2.5;230;;;;43;321;OTM Otter trawl midwater;FOTÖ ONEBOAT PELAGIC TRAWL 3.2 M;0;0;43;31;;;;109;;Valid;SEPI.1992.194;5558.799;1524.989;55.98;15.416;0;0;0;;0;0;;0;;0.8
962;2000;2000-11-26 08:37;SEPI;ARGOS;;Research vessel;6;BITS;25;Sub-25 (Östersjön-Södra centrala V);4060;55 47,919;15 57,079;55 47,819;15 54,180;30;3.3;1.66;266;62;61;;61;316;OTB Otter trawl bottom;GOV (GRAND OUVERTURE VERTICALE);0;0;;;;;;100;;Valid;SEPI.2000.618;5547.919;1557.079;55.799;15.951;84.43836902;277.0287698;32.67456;160;51.76380902;169.8287698;656.167979;0.471166099;0.96;0.9
963;1989;1989-03-13 09:05;SEPI;ARGOS;;Research vessel;6;BITS;25;Sub-25 (Östersjön-Södra centrala V);4060;55 59,700;15 27,599;55 58,500;15 25,000;30;3.4;1.7;220;;;;44;316;OTB Otter trawl bottom;GOV (GRAND OUVERTURE VERTICALE);0;0;;;;;;50;;Valid;SEPI.1989.86;5559.7;1527.599;55.995;15.46;58.55646451;192.1143849;32.67456;160;25.88190451;84.91438488;328.0839895;0.326745072;1.39;0.9
964;2002;2002-11-22 10:10;SEPI;ARGOS;;Research vessel;6;BITS;25;Sub-25 (Östersjön-Södra centrala V);4061;55 50,240;16 11,970;55 50,430;16 09,230;30;3.1;1.6;275;59;60;;59;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;0;0;;;;;;75;;Valid;SEPI.2002.582;5550.24;1611.97;55.837;16.2;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
965;2001;2001-10-17 13:26;SEPI;ARGOS;;Research vessel;2;Acoustics (BIAS, Hersur) ;25;Sub-25 (Östersjön-Södra centrala V);4061;55 52,339;16 29,939;55 50,720;16 29,839;30;3.3;1.6;182;53;55;;54;321;OTM Otter trawl midwater;MACRO 4 ONE BOAT PELAGIC TRAWL;0;0;;;;DAN greens flyt;6;;;Valid;SEPI.2001.545;5552.339;1629.939;55.872;16.499;0;0;0;;0;0;;0;;0.9
966;1999;1999-10-15 03:34;SEPI;ARGOS;;Research vessel;2;Acoustics (BIAS, Hersur) ;25;Sub-25 (Östersjön-Södra centrala V);4061;55 52,470;16 03,680;55 52,149;16 00,270;30;4;2;261;;;;54;321;OTM Otter trawl midwater;MACRO 4 ONE BOAT PELAGIC TRAWL;0;0;;;;DAN greens flyt;6;108;;Valid;SEPI.1999.561;5552.47;1603.68;55.875;16.061;0;0;0;;0;0;;0;;0.8
967;2004;2004-03-10 06:26;SEPI;ARGOS;;Research vessel;6;BITS;25;Sub-25 (Östersjön-Södra centrala V);4062;55 55,600;17 06,800;55 56,070;17 04,000;32;3;1.62;286;46;46;;46;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;0;0;;;;;;50;;Invalid;SEPI.2004.259;5555.6;1706.8;55.927;17.113;68.35883251;224.2743849;42.476928;208;25.88190451;84.91438488;328.0839895;0.381442285;1.19;1
968;1987;1987-10-08 09:00;SEPI;ARGOS;;Research vessel;2;Acoustics (BIAS, Hersur) ;25;Sub-25 (Östersjön-Södra centrala V);4062;55 52,100;17 40,800;55 50,000;17 43,599;60;3.6;3.6;999;;;;61;321;OTM Otter trawl midwater;FOTÖ ONEBOAT PELAGIC TRAWL 3.2 M;0;0;;;;;;108;;Valid;SEPI.1987.162;5552.1;1740.8;55.868;17.68;0;0;0;;0;0;;0;;0.8
969;1988;1988-10-15 09:25;Y4RB;EISBÄR;;Research vessel;2;Acoustics (BIAS, Hersur) ;26;Sub-26 (Östersjön-Södra centrala Ö);4065;55 37,000;20 11,000;;;20;3.8;1.27;;;;;76;321;OTM Otter trawl midwater;OTM PELAGIC TRAWL FOR HERRING;0;0;;;;;;;;Valid;Y4RB.1988.110;5537;2011;55.617;20.183;0;0;0;;0;0;;0;;0.8
970;1995;1995-08-03 08:27;SEPI;ARGOS;;Research vessel;6;BITS;23;Sub-23 (Öresund);4157;56 13,600;12 24,699;56 12,000;12 25,900;30;3.6;1.79;156;;;;23;316;OTB Otter trawl bottom;GOV (GRAND OUVERTURE VERTICALE);0;0;;;;DAN greens botten;7;90;;Valid;SEPI.1995.153;5613.6;1224.699;56.227;12.412;79.26198812;260.0458928;32.67456;160;46.58742812;152.8458928;590.5511811;0.442281894;1.03;0.8
971;2011;2011-11-29 07:14;OXBH;DANA;;Research vessel;6;BITS;27;Sub-27 (Östersjön-Väster om Gotland);4262;56 56,500;17 10,490;56 57,880;17 11,210;30;2.9;1.43;16;73;72;;72;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;0;0;;;;;;75;;Valid;OXBH.2011.37;5656.5;1710.49;56.942;17.175;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
972;1991;1991-03-16 09:35;SEPI;ARGOS;;Research vessel;6;BITS;27;Sub-27 (Östersjön-Väster om Gotland);4361;57 22,200;16 54,800;57 23,899;16 55,699;60;3.2;3.2;999;;;;44;319;OTB Otter trawl bottom;FOTÖ BOTTOM TRAWL FOR COD;0;0;;;;;;185;;Valid;SEPI.1991.73;5722.2;1654.8;57.37;16.913;112.7129747;369.793224;16.949928;83;95.76304669;314.183224;1213.910761;0.628938399;0.72;0.9
