FROMYEAR;STA_FROMDATETIME;VESS_SIGNAL;VESS_NAME;VESS_DISTRICT;TYPE;STA_SAMPTYPE_CODENOID;SAMPTYPE_NAMEENG;STA_SUBDIV_SUBDIV;SUBNAMN;STA_ICESRECT_RUTA;LATSTART_DEG;LONGSTART_DEG;LATSTOP_DEG;LONGSTOP_DEG;STA_DURATION;STA_SPEED;STA_DIST;STA_COURSE;STA_BOTSTART;STA_BOTSTOP;STA_BOTMAX;STA_BOTAVG;GEARMOD_REDSKAP_REDSKKOD;REDSKENG;GEARMOD_NAMEENG;STA_SELECTIONDEVICE;STA_SELECTIONDEVICEMESH;STA_HEADROPEDEPTHMAX;STA_HEADROPEDEPTHMIN;STA_FOOTROPEDEPTH;TOTD_NAMEENG;TOTD_AREA;STA_SWEEPLENGTH;STA_STROPLENGTHDOORFLOATS;STAVALCODE_DESCENG;index;Lat1;Lon1;LATDD;LONGDD;Size.final..m.;Size.final..foot.;Horizontal.opening..m.;Fishing line (foot);Swep both side (after formula) (meter);Swep.both.side..after.formula...foot.;sweep both sides (foot);Swept.area;RSA;RS
2015;2015-03-06 15:18;OXBH;DANA;;Research vessel;6;BITS;25;Sub-25 (Östersjön-Södra centrala V);4 061;55 46,010;16 39,650;55 47,260;16 38,110;30;3;2;325;56;53;;55;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;;;;;;"Thyborön 100""";4;75;;Valid;OXBH.2015.82;5546.01;1639.65;55.767;16.661;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
2015;2015-03-05 06:30;OXBH;DANA;;Research vessel;6;BITS;27;Sub-27 (Östersjön-Väster om Gotland);4 261;56 32,000;16 55,000;56 33,500;16 55,000;30;3;2;;71;73;;72;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;;;;;;"Thyborön 100""";4;75;;No oxygen;OXBH.2015.69;5632;1655;56.533;16.917;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
2015;2015-05-19 00:00;SECT;SETTE MARI;GE - 49;Swedish vessel;80;Coastal Laboratory - DCF;30;Sub-30 (Bottenhavet);5 063;60 54,000;18 44,000;;;1 200;;;;;;;;314;OTB Otter trawl bottom;OTB BOTTOM TRAWL FOR HERRING;0;;;;;;;;;Valid;SECT.2015.999;6054;1844;60.9;18.733;0;0;0;;0;0;;0;;
2015;2015-03-12 00:00;SECT;SETTE MARI;GE - 49;Swedish vessel;80;Coastal Laboratory - DCF;30;Sub-30 (Bottenhavet);5 162;61 06,000;17 52,000;;;1 260;;;;;;;;314;OTB Otter trawl bottom;OTB BOTTOM TRAWL FOR HERRING;0;;;;;;;;;Valid;SECT.2015.999;6106;1752;61.1;17.867;0;0;0;;0;0;;0;;
2016;2016-10-04 00:00;SJBN;MERCY;GG - 370;Swedish vessel;80;Coastal Laboratory - DCF;30;Sub-30 (Bottenhavet);5 063;60 51,000;18 42,000;61 08,000;17 52,000;1 439;;;;;;;;321;OTM Otter trawl midwater;OTM PELAGIC TRAWL FOR HERRING;0;;;;;;;;;Valid;SJBN.2016.999;6051;1842;60.85;18.7;0;0;0;;0;0;;0;;
2015;2015-02-28 08:55;OXBH;DANA;;Research vessel;6;BITS;26;Sub-26 (Östersjön-Södra centrala Ö);4 163;56 21,030;18 26,740;56 19,890;18 24,970;30;3;2;220;42;42;;42;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;;;;;;"Thyborön 100""";4;75;;Valid;OXBH.2015.22;5621.03;1826.74;56.351;18.446;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
2016;2016-03-01 09:54;OXBH;DANA;;Research vessel;6;BITS;25;Sub-25 (Östersjön-Södra centrala V);4 061;55 44,690;16 19,970;55 46,190;16 20,060;30;3;2;163;66;65;;66;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;;;;;;"Thyborön 100""";4;75;;Valid;OXBH.2016.89;5544.69;1619.97;55.745;16.333;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
2015;2015-03-03 09:29;OXBH;DANA;;Research vessel;6;BITS;28;Sub-28 (Östersjön-Öster om Gotland);4 564;58 03,300;19 26,720;58 04,770;19 26,190;30;3;2;325;78;72;;74;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;;;;;;"Thyborön 100""";4;75;;Valid;OXBH.2015.55;5803.3;1926.72;58.055;19.445;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
2016;2016-02-28 15:34;OXBH;DANA;;Research vessel;6;BITS;26;Sub-26 (Östersjön-Södra centrala Ö);4 163;56 21,030;18 29,370;56 19,800;18 27,870;30;3;1;214;53;53;;54;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;;;;;;"Thyborön 100""";4;75;;Valid;OXBH.2016.78;5621.03;1829.37;56.351;18.49;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
2016;2016-11-25 11:21;OXBH;DANA;;Research vessel;6;BITS;27;Sub-27 (Östersjön-Väster om Gotland);4 261;56 43,660;16 59,670;56 42,200;16 59,080;30;3;2;193;64;66;;65;319;OTB Otter trawl bottom;TV3 BOTTOM TRAWL FOR COD 930 MESH;;;;;;"Thyborön 100""";4;75;;Additional valid stations not used for index calculations;OXBH.2016.48;5643.66;1659.67;56.728;16.995;81.29978477;266.7315773;42.476928;208;38.82285677;127.3715773;492.1259843;0.453652799;1;1
