HH,2,LAT,ZBA,LBT,-9,-9,-9,4,1,1980,4,11,0805,-9,30,D,54.8500,19.5667,54.8833,19.5833,38G9,90,V,-9,1,1,C,-9,-9,-9,-9,350,22,-9,3,580,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,270,4,-9,1,1.2,-9,-9,-9,-9,-9
HL,2,LAT,ZBA,LBT,-9,-9,-9,4,1,1980,W,127141,1,-9,742,1,211,1,-9,200000,1,20,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,2,LAT,ZBA,LBT,-9,-9,-9,4,1,1980,W,127141,1,-9,742,1,211,1,-9,200000,1,19,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,2,LAT,ZBA,LBT,-9,-9,-9,4,1,1980,W,127141,1,-9,742,1,211,1,-9,200000,1,22,28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,2,LAT,ZBA,LBT,-9,-9,-9,4,1,1980,W,127141,1,-9,742,1,211,1,-9,200000,1,23,28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,2,LAT,ZBA,LBT,-9,-9,-9,4,1,1980,W,127141,1,-9,742,1,211,1,-9,200000,1,24,66.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,2,LAT,ZBA,LBT,-9,-9,-9,4,1,1980,W,127141,1,-9,742,1,211,1,-9,200000,1,25,52.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,2,LAT,ZBA,LBT,-9,-9,-9,4,1,1980,W,127141,1,-9,742,1,211,1,-9,200000,1,26,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,2,LAT,ZBA,LBT,-9,-9,-9,4,1,1980,W,127141,1,-9,742,1,211,1,-9,200000,1,27,84.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,2,LAT,ZBA,LBT,-9,-9,-9,4,1,1980,W,127141,1,-9,742,1,211,1,-9,200000,1,28,77.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,2,LAT,ZBA,LBT,-9,-9,-9,4,1,1980,W,127141,1,-9,742,1,211,1,-9,200000,1,29,91.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,2,LAT,ZBA,LBT,-9,-9,-9,4,1,1980,W,127141,1,-9,742,1,211,1,-9,200000,1,30,52.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,2,LAT,ZBA,LBT,-9,-9,-9,4,1,1980,W,126436,4,-9,108,1,-9,1,-9,60000,-9,-9,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,2,LAT,ZBA,LBT,-9,-9,-9,4,1,1980,W,127141,1,-9,742,1,211,1,-9,200000,1,32,35.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,2,LAT,ZBA,LBT,-9,-9,-9,4,1,1980,W,127141,1,-9,742,1,211,1,-9,200000,1,33,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
