HH,2,LAT,0027,LBT,-9,-9,-9,6,1,1989,4,4,1200,-9,60,D,55.6667,21.0667,55.6000,21.0667,40H1,20,V,-9,1,1,C,-9,-9,-9,-9,200,-9,-9,-9,-9,-9,-9,-9,-9,-9,180,-9,-9,-9,-9,-9,-9,50,4,-9,0.1,4.2,-9,-9,-9,-9,-9
HL,2,LAT,0027,LBT,-9,-9,-9,6,1,1989,W,126436,1,-9,5,1,5,1,-9,6000,1,46,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,2,LAT,0027,LBT,-9,-9,-9,6,1,1989,W,126436,1,-9,5,1,5,1,-9,6000,1,47,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,2,LAT,0027,LBT,-9,-9,-9,6,1,1989,W,126436,1,-9,5,1,5,1,-9,6000,1,48,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,2,LAT,0027,LBT,-9,-9,-9,6,1,1989,W,126436,1,-9,5,1,5,1,-9,6000,1,45,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH,2,LAT,0027,LBT,-9,-9,-9,6,2,1989,4,4,1330,-9,60,D,55.6000,21.0000,55.6667,21.0000,40H1,28,V,-9,1,1,C,-9,-9,-9,-9,200,-9,-9,-9,-9,-9,-9,-9,-9,-9,360,-9,-9,-9,-9,-9,-9,50,4,-9,0.1,4.2,-9,-9,-9,-9,-9
HL,2,LAT,0027,LBT,-9,-9,-9,6,2,1989,W,126436,1,-9,3,1,3,1,-9,4000,1,45,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,2,LAT,0027,LBT,-9,-9,-9,6,2,1989,W,126436,1,-9,3,1,3,1,-9,4000,1,48,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,2,LAT,0027,LBT,-9,-9,-9,6,2,1989,W,126436,1,-9,3,1,3,1,-9,4000,1,67,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH,2,LAT,0027,LBT,-9,-9,-9,6,3,1989,4,5,0630,-9,60,D,55.1000,20.4833,55.1000,20.3833,39H0,30,V,-9,1,1,C,-9,-9,-9,-9,200,-9,-9,-9,-9,-9,-9,-9,-9,-9,270,-9,-9,-9,-9,-9,-9,90,10,-9,0.5,4.2,-9,-9,-9,-9,-9
HL,2,LAT,0027,LBT,-9,-9,-9,6,3,1989,W,126436,1,-9,4,1,4,1,-9,5000,1,51,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,2,LAT,0027,LBT,-9,-9,-9,6,3,1989,W,126436,1,-9,4,1,4,1,-9,5000,1,52,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,2,LAT,0027,LBT,-9,-9,-9,6,3,1989,W,126436,1,-9,4,1,4,1,-9,5000,1,45,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,2,LAT,0027,LBT,-9,-9,-9,6,3,1989,W,126436,1,-9,4,1,4,1,-9,5000,1,49,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HH,2,LAT,0027,LBT,-9,-9,-9,6,4,1989,4,5,0915,-9,60,D,55.1000,20.3333,55.1000,20.2333,39H0,40,V,-9,1,1,C,-9,-9,-9,-9,200,-9,-9,-9,-9,-9,-9,-9,-9,-9,270,-9,-9,-9,-9,-9,-9,90,10,-9,1,4.2,-9,-9,-9,-9,-9
HL,2,LAT,0027,LBT,-9,-9,-9,6,4,1989,W,126436,1,-9,10,1,10,1,-9,12000,1,45,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,2,LAT,0027,LBT,-9,-9,-9,6,4,1989,W,126436,1,-9,10,1,10,1,-9,12000,1,47,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
