HH,3,LAT,ZBA,LBT,-9,-9,-9,9,1,1990,9,8,0845,-9,35,D,57.4667,21.1167,57.4667,21.2000,43H1,70,V,-9,1,1,C,-9,-9,-9,-9,275,22,-9,3,580,-9,-9,-9,-9,-9,82,-9,-9,-9,-9,-9,-9,180,8,-9,0.5,15.6,5.1,-9,-9,-9,-9
HL,3,LAT,ZBA,LBT,-9,-9,-9,9,1,1990,W,126436,1,-9,45,1,26,1,-9,80743,1,67,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,3,LAT,ZBA,LBT,-9,-9,-9,9,1,1990,W,126436,1,-9,45,1,26,1,-9,80743,1,48,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,3,LAT,ZBA,LBT,-9,-9,-9,9,1,1990,W,126436,1,-9,45,1,26,1,-9,80743,1,49,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,3,LAT,ZBA,LBT,-9,-9,-9,9,1,1990,W,126436,1,-9,45,1,26,1,-9,80743,1,52,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,3,LAT,ZBA,LBT,-9,-9,-9,9,1,1990,W,126436,1,-9,45,1,26,1,-9,80743,1,53,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,3,LAT,ZBA,LBT,-9,-9,-9,9,1,1990,W,126436,1,-9,45,1,26,1,-9,80743,1,54,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,3,LAT,ZBA,LBT,-9,-9,-9,9,1,1990,W,126436,1,-9,45,1,26,1,-9,80743,1,45,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,3,LAT,ZBA,LBT,-9,-9,-9,9,1,1990,W,126436,1,-9,45,1,26,1,-9,80743,1,62,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HL,3,LAT,ZBA,LBT,-9,-9,-9,9,1,1990,W,126436,1,-9,45,1,26,1,-9,80743,1,57,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
